tid	uid	text	date	gender	age	city	state	country	ethnicity	label
-8030136833725217978	-1958994435843495232	" easyjet quiere duplicar el número de mujeres piloto " verás tú para aparcar el avión .. url	2015-10-15	x	x	x	x	x	x	1
2727642048186975172	6774332719469904360	el gobierno debe crear un control estricto de inmigración en las zonas fronterizas con colombia por q después del 20-8 querrán venir en masa	2018-8-5	0	0	x	x	x	1	1
-4058353747450138233	-5696974613385926216	yo veo a mujeres destruidas por acoso laboral y callejero . otras con depresión debido a violación sexual o maltrato … url	2018-1-10	x	x	Santiago	Santiago Metropolitan Region	0	x	0
2090143212959821333	7742838847328622160	antonio caballero y como ser de mal gusto e ignorante a la vez . claro que no es lo mismo acoso sexual y violación p … url	2017-12-18	1	1	Bogota	Bogota	0	0	0
4574659566444417483	-1706219402989819116	user cuánto hijo de puta sobra en el mundo ...	2017-12-17	0	0	x	x	x	0	0
-1188579276689871333	-7575743973860422458	" pablo casado debería estudiar un máster en inmigración " url	2018-8-6	x	x	x	x	x	x	0
7421123367173458269	-3745385372875888377	hashtag detienen en guatapanal motocicleta y nacional haitiano indocumentado url	2018-8-3	0	0	Mao	Valverde Province	0	0	0
-8536002645762409683	5118360433882067333	user llora te lo.mereces por zorra	2017-12-12	1	0	x	x	x	0	1
3637369594484457422	-8585653144425765292	padres indocumentados realizaron una huelga de hambre para pedir ser liberados url url	2018-8-3	x	x	Upata	Bolívar	0	x	0
-2343879945086647551	7178841846807235803	a tomi alegre jakskksjsj — cállate q tdv estoy de duelo puta url	2018-1-13	1	1	Resistencia	Chaco Province	0	1	0
-4037250548126355793	5948439092131114359	user user callate gallina puta y cntala cmo quieras ! ! bolso culo facil ! ! jajajaaj hijooo	2017-12-12	0	0	Mercedes	Soriano Department	0	0	1
8232044473224430157	-1121064933313983117	todos : - hashtag - ppk , presidente de lujo - perú no va al mundial 2017 : já , ilusos .	2017-12-31	1	1	Lima	Callao Region	0	1	0
-8518976762617538931	-3458192295235614686	el juez cita a declarar a la menor que denunció abusos por parte de jugadores de la hashtag url	2018-1-3	x	x	x	x	1	x	0
7371792185965199255	-3259263323426508018	pd a ver si cierran de una puta vez tv3 que no sé todavía qué servicio público ofrece para que merezca dinero de nu … url	2017-12-12	x	x	Orlando	Florida	0	x	0
-2671174751920728003	-7941704414243450433	yo estaba claro que esta vida de trabajador inmigrante fundido máquina iba a ser difícil . y es verdad , es difícil jajaja	2018-8-5	0	0	Viña del Mar	Valparaiso Region	0	1	0
1361750552130931304	421863167491495659	user user no tienes ni puta idea.la melodia es mi novia es sevillista ... una puta mas .	2018-1-10	x	x	Seville	Andalusia	1	x	1
6617128966277979582	6896786178923363720	user user diappoler * jajaja cállate pepe niño polla si me han llenado de notificaciónes jajajajaja	2017-12-13	0	1	x	x	x	1	0
-8775337886383198958	-8457806976757482506	¿ mojigatas , moralinas ? ¿ neta ? ¿ por estar en contra del acoso sexual y la violación en el trabajo ?	2018-1-10	x	x	x	x	x	x	0
7972512709101123436	3931919863439683321	si cualquier cosa es violación o acoso , se minimizan la violación y el acoso . por lo tanto , pierden las víctimas de … url	2018-1-10	0	0	Buenos Aires	Buenos Aires	0	1	0
-1175200075833732155	3040436004381749121	odio los viejos que se creen que se merecen todo , hijo de puta tú lo que te mereces es una tumba .	2017-12-14	0	1	Cayey	Cayey	0	0	0
-1138018809020682738	-4602037371155298190	user tu eres demasiado perra 😂	2017-12-19	0	1	Madrid	 Spain	1	0	1
5342108246795004601	-3096649570840143229	user user callate la puta boca gordo almagro	2017-12-13	x	x	Chicago	Illinois	0	x	0
-6757283148448044507	-3417787835410608331	es un gran regalo ? ? ? y una polla un regalo , aquí no le han regalado nada . se lo ha currado muchísimo , ya vale con las tonterías hashtag	2017-12-18	0	0	x	x	x	1	0
4409367573874319024	7405558490031979273	user puteria y perico también somos almas gemelas excepto que tu eres puta desde él vientre .	2017-12-12	0	1	Bogota	Bogota	0	0	1
-387585597625128997	-2664451334965842095	user user user asi le digo a tu mami callate perra	2018-1-11	x	x	Córdoba	Cordoba	0	x	1
6770928238235235144	3048870858721184283	dos amigos hablando : - raúl , q me das por mi mujer ? - nada - trato hecho .	2013-6-29	x	x	x	x	x	x	1
-4507417286583604741	-1144164927036730942	user callate perra , re despierta estoy	2017-12-13	1	1	Canelones	Canelones Department	0	0	1
-2419630721378619261	-2518746755623732185	ah vaina , ¿ ahora no puedo criticar porque soy inmigrante ? dios mío ¿ por que hay gente así ? 😒 😒 url	2018-8-6	1	1	x	x	x	0	0
-6319124553349688046	7694017624799616671	immigration ? invasion ? entrada masiva de inmigrantes subsaharianos a ceuta | españa url via … url	2018-7-30	x	x	x	x	x	x	0
-1800080398747342391	-7957164445591071102	de esto que estás escribiendo y te preguntas lo callada que está la perra . miras hacia atrás y te encuentras esto . url	2018-1-2	0	1	Seville	Andalusia	1	1	0
-6864757975384862935	-5460417805862341376	en ese listado deben estar de segundo los árabes y chinos que nos tienen jodidos . vienen de sus países con una mano … url	2018-7-30	x	x	x	Nueva Esparta	0	x	1
-1243837681190482975	4537708162187409756	guyana recibirá $ 30 mil de unicef para atender a refugiados venezolanos - url url	2018-8-6	x	x	x	x	0	x	0
7061603164312022765	2847252852552100641	cómo cuando estás bien prietita y te dicen güera jajaja	2018-8-4	1	1	Mexico City	Mexico City	0	0	0
-8732500995847350982	-3346679440634404404	user tu eres la perra mas perra de las perras	2018-1-11	0	1	x	x	x	1	1
6639118488078695959	3156629350456027848	user maldito hijo de perra ... no sé por que no se fue por una puta letrina en su pueblo y se ahogó en mierda , como lo merecia .	2018-1-13	0	0	x	x	0	1	0
-1924192322741665627	-4699996741039184543	a ver quién paga la factura y cómo se reparten el marrón de dejar inmigrantes ilegales sueltos por sus ciudades ( y … url	2018-8-6	0	0	Madrid	Community of Madrid	1	0	1
-7259839966887128124	8526707237413310662	- el tiempo no existe . la división espacio-temporal es una invención del hombre , por lo tanto , .. - cállate , hijo ( a ) de puta .	2017-12-31	x	x	Lima	Callao Region	0	x	0
-1189908060207073153	2635714216743351886	user ahora que me has faltado el respeto te lo puedo decir por fin : ¡ a fregar puta !	2018-1-13	x	x	x	x	x	x	1
9142883719511385007	-5226134864162831778	me mandan esta mierda . cultura de la violación en sus mejores pantallas . escoria . se puede hacer algo user ? url	2017-12-17	1	0	Barcelona	Catalonia	1	0	0
8236646537299239360	-8961217663378863025	user user user pero el escenario que describe no es de acoso . es de violación y asesinos	2018-1-10	0	0	Mexico City	Mexico City	0	1	0
-8611985252730698936	-1493624121529308703	la conferencia sectorial de inmigración y emigración se reúne dentro de una hora por primera vez desde 2015 . en lo … url	2018-8-6	x	x	x	Region of Murcia	1	x	0
5248923391189459317	-6548121513564035349	user user callate ivan el tonto , no hay pruebas ! ! ! donde estabas hijo de perra cuando gente como b … url	2017-12-13	x	x	x	x	0	x	0
1477605251102632546	-8099150707483808283	- final champions league - libertadores y sudaca - tour , giro y vuelta - wimbledon - super bowl url	2018-7-27	0	1	x	x	x	1	0
4267012293270693188	-4978569596230705148	user user ¿ distingues entre una violación o entre un acoso laboral ? o lo metes todo en el mismo pack ? . cu … url	2018-1-7	0	0	x	x	x	1	0
-2484921766330945958	-4244706033401212319	user cállate puta ! aprende a hablar y blanqueate el hocico . hashtag	2018-1-10	0	1	x	x	0	1	1
7979730812748859821	-3780351610001611735	mercedes y vodafone se lían en la polémica del futbolista özil sobre el racismo en alemania : “ soy alemán cuando gan … url	2018-8-6	0	1	Madrid	Community of Madrid	1	1	0
199158774542390337	-6636715130239606746	calmados no se amontonen ! ! ! pinches nacos frijoleros pikense el culo 🖕 🏽 😑 url	2018-7-30	0	1	x	x	x	1	1
6546069463601725107	1214080604538238893	user cuando te conozca te pego un chicle en la cara a ver si te ves algún día bien	2017-12-22	0	0	x	Colorado	0	1	0
-2408386243790032429	1404626289690509415	user user hashtag tu eres gilipollas roncero ! ! donde está vuestra puta factoría ?	2018-1-4	x	x	x	Basque Country	1	x	0
43837643135978294	-5741492382080753676	como me matas cuando te mueves así de lento , siento todo el recorrido y la presión de tu coño alrededor de mi polla … url	2018-1-9	0	0	x	x	1	1	0
1711507337734261815	-2515719813662321020	la moronegrada está hundiendo el país a base d ser cobradores netos d pensiones , teroristas , robar , violar , trafica … url	2018-8-5	x	x	x	x	x	x	1
-8880210003752089345	3048870858721184283	— ¿ porque la esatua de la libertad es mujer ? — porque se nescesitaba una cabeza hueca para hacer un mirador	2013-6-29	x	x	x	x	x	x	1
6668109563021658349	1412544519756165111	user user cállate perra de mierda culona	2017-12-23	x	x	x	x	x	x	1
-6222476331618259919	2267398984342095269	lo peor es que luego los lees y estos simios deformados insinúan que la mujer es malvada y una zorra muajajajaja en … url	2017-12-11	x	x	Donostia-San Sebastian	Basque Country	1	x	0
-6853649314883448050	8496789638298190755	user jajajaja vos cállate puta .	2017-12-14	1	1	Buenos Aires	 Argentina	0	1	1
-5476998863337451556	3461055351105231417	user user callate bobo hijo de puta bestia humana lacra asquerosa izquierdistas rateros mal paridos	2017-12-13	x	x	Guayaquil	x	0	x	0
-8768245137381555487	-6519677917532178901	me obligan a tragar polla y me mean en la cara 😮 url	2017-12-21	0	1	Valencia	Valencian Community	1	0	0
1359032581588838149	-2107539790807944589	user user user lo mas saturado es ver mi polla en tu culo agujereado 😂 😂 😂	2018-1-13	x	x	x	Community of Madrid	1	x	0
682170548987761961	8320714962505336246	user user si , estoy de acuerdo . a ningún hombre le pasaría por la cabeza que una mujer es puta por … url	2017-12-27	x	x	x	x	x	x	0
1452056848251239373	-5523380456547115463	bronceado 2018 goals he ido al kebap y me han hablado en árabe . ✔ misión cumplida	2018-8-4	1	0	Orlando	Florida	0	1	0
7261309217424621742	5940631037459561249	la sacaron justo a l dia siguiente del documental , por cierto excelente , destapa la cruda realidad del inmigrante y … url	2018-8-4	x	x	Austin	Texas	0	x	0
